CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
T43356;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1274;;;SP;SP
T50884;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;974;;;MG;MG
T57598;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2964,7;;;RJ;RJ
TDCC7C;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;448;;;MG;MG
TDCCAK;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;436;;;SP;SP
TDCE5J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1995;;;SP;SP
TDCFSS;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;508;;;SP;SP
TDCFUC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1669;;;SP;SP
TDCG03;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;820;;;MG;MG
TDCG26;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2699;;;SP;SP
TDCG39;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;757;;;SP;SP
TDCCA1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;401;;;RJ;RJ
TDCCU4;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2767;;;SP;SP
TDCD1A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;535;;;SP;SP
TDC9VR;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;891,5555556;;;MG;MG
TDCD5W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1429;;;SP;SP
TDCDE6;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;420;;;SP;SP
TDCDNA;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;4564;;;SP;SP
TDCC27;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2543;;;SP;SP
TDCET1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1082;;;SP;SP
TDCEWE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2731;;;SP;SP
TDCEXF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;414;;;SP;SP
TDCF6I;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;897;;;SP;SP
TDCCMN;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2451;;;SP;SP
TDCCZU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1401;;;SP;SP
TDCGIU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;813;;;SP;SP
TDCGSG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;830;;;MG;MG
TDCDND;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2808;;;SP;SP
TDCC5J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2373;;;SP;SP
TDCCPU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;627;;;SP;SP
TDCE1N;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1289;;;ES;ES
TDCCUM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1304;;;SP;SP
TDCEH0;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1431;;;SP;SP
TCANWL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1457;;;SP;SP
TDCEUM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1381;;;SP;SP
TDCCZI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;653;;;MG;MG
TDCD0Z;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1318;;;RJ;RJ
TDCEX3;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2544;;;SP;SP
TDCF7E;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1299;;;SP;SP
TDCDEM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1542;;;RJ;RJ
TDCGAV;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1435,25;;;RJ;RJ
TDCEOX;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2688;;;MG;MG
TDCC5S;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1425;;;SP;SP
TDCETL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1835;;;SP;SP
TDCCIY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1277;;;SP;SP
TDCEXM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1192;;;SP;SP
TDCGTV;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;491;;;MG;MG
TDCCK4;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1110;;;SP;SP
TDCC7W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;427;;;SP;SP
TDCGXM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;487;;;SP;SP
TDCFCE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1381;;;SP;SP
TDCCOJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;967;;;SP;SP
TDCCJI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;3412;;;SP;SP
TDCFCM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;828,4;;;SP;SP
TDCCQC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1242;;;RJ;RJ
TDCCQI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1150;;;MG;MG
TDCDO6;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;962;;;MG;MG
TDCDTD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1327;;;SP;SP
TDCD0J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;3395;;;SP;SP
TDCH5Q;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;626;;;RJ;RJ
TDCF4A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1269;;;RJ;RJ
TDCDFS;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1607;;;SP;SP
TDCFDG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;921;;;MG;MG
TDCFFY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1876;;;SP;SP
TDCDQB;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;470;;;SP;SP
TDCFNM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1463;;;MG;MG
TDCC5C;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;882;;;SP;SP
