CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;CLIENTE_PRIME_un;cluster
T43356;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1274.0;0.0;0.0;;1
T50884;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;974.0;0.0;0.0;;1
T57598;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2964.7;0.0;0.0;;1
TDCC7C;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;448.0;0.0;0.0;;1
TDCCAK;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;436.0;0.0;0.0;;1
TDCE5J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1995.0;0.0;0.0;;1
TDCFSS;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;508.0;0.0;0.0;;1
TDCFUC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1669.0;0.0;0.0;;1
TDCG03;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;820.0;0.0;0.0;;1
TDCG26;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2699.0;0.0;0.0;;1
TDCG39;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;757.0;0.0;0.0;;1
TDCCA1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;401.0;0.0;0.0;;1
TDCCU4;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2767.0;0.0;0.0;;1
TDCD1A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;535.0;0.0;0.0;;1
TDC9VR;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;8.915.555.556;0.0;0.0;;1
TDCD5W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1429.0;0.0;0.0;;1
TDCDE6;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;420.0;0.0;0.0;;1
TDCDNA;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;4564.0;0.0;0.0;;1
TDCC27;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2543.0;0.0;0.0;;1
TDCET1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1082.0;0.0;0.0;;1
TDCEWE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2731.0;0.0;0.0;;1
TDCEXF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;414.0;0.0;0.0;;1
TDCF6I;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;897.0;0.0;0.0;;1
TDCCMN;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2451.0;0.0;0.0;;1
TDCCZU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1401.0;0.0;0.0;;1
TDCGIU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;813.0;0.0;0.0;;1
TDCGSG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;830.0;0.0;0.0;;1
TDCDND;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2808.0;0.0;0.0;;1
TDCC5J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2373.0;0.0;0.0;;1
TDCCPU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;627.0;0.0;0.0;;1
TDCE1N;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1289.0;0.0;0.0;;1
TDCCUM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1304.0;0.0;0.0;;1
TDCEH0;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1431.0;0.0;0.0;;1
TCANWL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1457.0;0.0;0.0;;1
TDCEUM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1381.0;0.0;0.0;;1
TDCCZI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;653.0;0.0;0.0;;1
TDCD0Z;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1318.0;0.0;0.0;;1
TDCEX3;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2544.0;0.0;0.0;;1
TDCF7E;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1299.0;0.0;0.0;;1
